epoch,sat,c1_raw_m,c1_tgd_m,c2_m,if_m,tgd_s,tgd_m,tx_raw_offset_s,tx_tgd_offset_s,tx_if_offset_s,dt_tgd_ns,dt_if_ns,dt_raw_if_ns,dc1_m,c1_raw_back_m,c1_tgd_back_m,if_back_m,c1_raw_residual_m,c1_tgd_residual_m,if_residual_m
2025-01-01 00:02:0.000000,G10,20178497.746,20178495.969,20178498.646,20178496.355,2.328306436540e-09,1.776940162793e+00,-6.705055491784e-02,-6.705054899061e-02,-6.705054794914e-02,5.927234369985e+00,1.041465677587e+00,6.968700047572e+00,1.776940163225e+00,2.017849774600e+07,2.017849596906e+07,2.017849635484e+07,-7.450580596924e-09,-3.725290298462e-09,-3.725290298462e-09
2025-01-01 00:02:0.000000,G12,22360928.234,22360937.829,22360928.224,22360928.249,-1.257285475731e-08,-9.595476879077e+00,-7.402625589142e-02,-7.402628789849e-02,-7.402626851583e-02,-3.200706563677e+01,1.938265092871e+01,-1.262441470806e+01,-9.595476880670e+00,2.236092823400e+07,2.236093782948e+07,2.236092824946e+07,-3.725290298462e-09,-3.725290298462e-09,0.000000000000e+00
2025-01-01 00:02:0.000000,G23,21342392.723,21342399.120,21342393.973,21342390.791,-8.381903171539e-09,-6.396984586050e+00,-7.158544074676e-02,-7.158546208481e-02,-7.158544268368e-02,-2.133804374860e+01,1.940113167342e+01,-1.936912075173e+00,-6.396984584630e+00,2.134239272300e+07,2.134239911998e+07,2.134239079084e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:02:0.000000,G24,24509165.794,24509164.017,24509172.844,24509154.897,2.328306436539e-09,1.776940162792e+00,-8.128525617908e-02,-8.128525025184e-02,-8.128521750102e-02,5.927234383862e+00,3.275082190168e+01,3.867805628555e+01,1.776940163225e+00,2.450916579400e+07,2.450916401706e+07,2.450915489662e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:02:0.000000,G25,20677771.895,20677767.630,20677774.165,20677768.386,5.587935447690e-09,4.264656390698e+00,-6.947103921754e-02,-6.947102499218e-02,-6.947102192550e-02,1.422536251294e+01,3.066676787511e+00,1.729203930045e+01,4.264656390995e+00,2.067777189500e+07,2.067776763034e+07,2.067776838620e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:02:0.000000,G28,21702545.305,21702552.413,21702545.035,21702545.722,-9.313225746150e-09,-7.107760651164e+00,-7.186828061234e-02,-7.186830432128e-02,-7.186829131768e-02,-2.370893750769e+01,1.300359368794e+01,-1.070534381975e+01,-7.107760652900e+00,2.170254530500e+07,2.170255241276e+07,2.170254572235e+07,-3.725290298462e-09,-3.725290298462e-09,-3.725290298462e-09
2025-01-01 00:02:0.000000,G31,23604170.438,23604180.744,23604172.408,23604167.393,-1.350417733190e-08,-1.030625294417e+01,-7.851621055156e-02,-7.851624492952e-02,-7.851621389843e-02,-3.437795939587e+01,3.103108804636e+01,-3.346871349508e+00,-1.030625294521e+01,2.360417043800e+07,2.360418074425e+07,2.360416739292e+07,-7.450580596924e-09,-3.725290298462e-09,-3.725290298462e-09
2025-01-01 00:03:0.000000,G10,20176555.088,20176553.311,20176556.028,20176553.635,2.328306436540e-09,1.776940162793e+00,-6.704407392199e-02,-6.704406799476e-02,-6.704406674705e-02,5.927234369985e+00,1.247705383456e+00,7.174939753440e+00,1.776940163225e+00,2.017655508800e+07,2.017655331106e+07,2.017655363502e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:03:0.000000,G12,22373421.263,22373430.858,22373422.003,22373420.119,-1.257285475731e-08,-9.595476879077e+00,-7.406792786227e-02,-7.406795986934e-02,-7.406793661969e-02,-3.200706563677e+01,2.324964561151e+01,-8.757420025263e+00,-9.595476880670e+00,2.237342126300e+07,2.237343085848e+07,2.237342011916e+07,-3.725290298462e-09,-3.725290298462e-09,-7.450580596924e-09
2025-01-01 00:03:0.000000,G23,21373840.661,21373847.058,21373841.581,21373839.239,-8.381903171539e-09,-6.396984586050e+00,-7.169034013584e-02,-7.169036147388e-02,-7.169034377423e-02,-2.133804374860e+01,1.769965403409e+01,-3.638389714511e+00,-6.396984584630e+00,2.137384066100e+07,2.137384705798e+07,2.137383923893e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:03:0.000000,G24,24547783.790,24547782.013,24547790.630,24547773.217,2.328306436539e-09,1.776940162792e+00,-8.141407200246e-02,-8.141406607523e-02,-8.141403440717e-02,5.927234383862e+00,3.166806339383e+01,3.759529777769e+01,1.776940163225e+00,2.454778379000e+07,2.454778201306e+07,2.454777321722e+07,0.000000000000e+00,-3.725290298462e-09,0.000000000000e+00
2025-01-01 00:03:0.000000,G25,20663552.164,20663547.899,20663554.734,20663548.191,5.587935447690e-09,4.264656390698e+00,-6.942360708647e-02,-6.942359286110e-02,-6.942358824763e-02,1.422536251294e+01,4.613474657855e+00,1.883883717080e+01,4.264656390995e+00,2.066355216400e+07,2.066354789934e+07,2.066354819148e+07,3.725290298462e-09,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:03:0.000000,G28,21682880.265,21682887.373,21682879.325,21682881.718,-9.313225746150e-09,-7.107760651164e+00,-7.180268448823e-02,-7.180270819717e-02,-7.180269864809e-02,-2.370893752157e+01,9.549078444637e+00,-1.415985907693e+01,-7.107760652900e+00,2.168288026500e+07,2.168288737276e+07,2.168288171798e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2025-01-01 00:03:0.000000,G31,23570011.818,23570022.124,23570014.248,23570008.062,-1.350417733190e-08,-1.030625294417e+01,-7.840226957346e-02,-7.840230395142e-02,-7.840227054857e-02,-3.437795939587e+01,3.340284475406e+01,-9.751146418102e-01,-1.030625294521e+01,2.357001181800e+07,2.357002212425e+07,2.357000806188e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
