epoch,sat,primary_code_type,primary_code_raw_m,primary_code_tgd_corrected_m,tgd_correction_m,c1c_m,c1w_m,c2w_m,l1w_cycles,l2w_cycles,tx_offset_s,sat_x_tx_m,sat_y_tx_m,sat_z_tx_m,sat_vx_tx_m,sat_vy_tx_m,sat_vz_tx_m,sat_x_rx_m,sat_y_rx_m,sat_z_rx_m,sat_vx_rx_m,sat_vy_rx_m,sat_vz_rx_m,sv_clock_bias_s,relativity_s,tgd_s,elevation_deg,azimuth_deg,model_iono_m,model_trop_m,code_iono_m,phase_iono_m,dual_iono_m,dual_minus_model_m
2025-01-01 00:02:00.000,G10,C1C,20178497.746,20178495.969,1.777,20178497.746,20178497.776,20178498.646,106038692.002000,82627548.559000,6.7050552590e-02,-7335513.500,21965081.972,12925088.311,-1173.897,1118.795,-2646.972,-7335405.667,21965117.984,12925088.311,-1173.892,1118.801,-2646.972,-2.5769374299e-04,2.2901505406e-08,2.3283064365e-09,83.057950,256.955996,5.846254,2.406108,1.344783,1.377829,1.974105,-3.872149
2025-01-01 00:02:00.000,G12,C1C,22360928.234,22360937.829,-9.595,22360928.234,22360928.104,22360928.224,117507445.505000,91564236.930000,7.4026268464e-02,-20051481.568,4142491.380,16605133.009,1360.581,-1695.400,2035.191,-20051459.124,4142600.018,16605133.009,1360.572,-1695.408,2035.191,-5.6177079006e-04,1.1312683927e-08,-1.2572854757e-08,33.941606,63.645465,10.016657,4.277745,0.185487,2.385807,0.220322,-9.796335
2025-01-01 00:02:00.000,G23,C1C,21342392.723,21342399.120,-6.397,21342392.723,21342392.923,21342393.973,112154985.829000,87393486.016000,7.1585449129e-02,-16820156.077,20372574.863,-812226.070,-114.987,-229.890,-3235.681,-16820049.326,20372663.000,-812226.070,-114.988,-229.890,-3235.681,3.9488727307e-04,2.6754872492e-09,-8.3819031715e-09,44.786619,153.086284,8.344193,3.390455,1.623014,3.561490,nan,nan
2025-01-01 00:02:00.000,G24,C1C,24509165.794,24509164.017,1.777,24509165.794,24509165.424,24509172.844,128796484.260000,100360882.872000,8.1285253851e-02,-18000461.578,-6205871.679,18205459.800,-892.860,-2238.375,-1565.280,-18000498.485,-6205764.625,18205459.800,-892.873,-2238.369,-1565.280,-4.6849067469e-04,-3.2595910967e-08,2.3283064365e-09,10.369525,52.020384,17.021647,13.269569,11.469300,5.267242,nan,nan
2025-01-01 00:02:00.000,G25,C1C,20677771.895,20677767.630,4.265,20677771.895,20677771.565,20677774.165,108662393.665000,84671989.651000,6.9471033630e-02,-19459862.333,16306097.678,6960010.064,328.789,-939.903,2995.020,-19459779.404,16306196.646,6960010.064,328.784,-939.905,2995.020,4.9739137016e-04,1.9530752435e-08,5.5879354477e-09,53.794734,117.015778,7.305436,2.960033,4.018892,2.043058,4.819711,-2.485725
2025-01-01 00:02:00.000,G28,C1C,21702545.305,21702552.413,-7.108,21702545.305,21702545.525,21702545.035,114047622.322000,88868272.905000,7.1868289926e-02,4573839.826,25107294.648,7343575.832,-594.986,-767.751,2989.812,4573971.905,25107270.587,7343575.832,-594.990,-767.748,2989.812,-5.2360985701e-04,9.0098169615e-10,-9.3132257462e-09,45.532924,253.443336,7.542220,3.346821,-0.757407,1.596260,-0.516025,-8.058245
2025-01-01 00:02:00.000,G31,C1C,23604170.438,23604180.744,-10.306,23604170.438,23604170.928,23604172.408,124040753.328000,96655133.872000,7.8516224056e-02,10238175.948,24174486.278,-2627211.462,-214.295,398.388,3160.177,10238314.839,24174427.456,-2627211.462,-214.293,398.389,3160.177,-2.1883276992e-04,1.9275114316e-08,-1.3504177332e-08,18.832936,239.676469,12.245754,7.398997,2.287677,-0.531865,3.097988,-9.147766
2025-01-01 00:03:00.000,G10,C1C,20176555.088,20176553.311,1.777,20176555.088,20176554.898,20176556.028,106028482.705000,82619593.183000,6.7044071594e-02,-7405449.136,22031882.639,12765767.898,-1157.054,1107.805,-2663.446,-7405340.986,22031918.990,12765767.898,-1157.049,1107.810,-2663.446,-2.5769469796e-04,2.2870206583e-08,2.3283064365e-09,83.019734,252.600807,5.872170,2.406304,1.746672,1.407890,2.004166,-3.868004
2025-01-01 00:03:00.000,G12,C1C,22373421.263,22373430.858,-9.595,22373421.263,22373421.563,22373422.003,117573099.028000,91615395.340000,7.4067940435e-02,-19969698.910,4040282.695,16726595.993,1365.412,-1711.364,2013.432,-19969677.007,4040390.950,16726595.993,1365.403,-1711.371,2013.432,-5.6177092648e-04,1.1160811738e-08,-1.2572854757e-08,33.773007,63.132525,10.082535,4.296549,0.680120,2.453509,0.288024,-9.794511
2025-01-01 00:03:00.000,G23,C1C,21373840.661,21373847.058,-6.397,21373840.661,21373840.871,21373841.581,112320243.205000,87522257.773000,7.1690348518e-02,-16826630.006,20358209.031,-1006343.331,-100.660,-248.827,-3234.504,-16826523.174,20358297.330,-1006343.331,-100.661,-248.827,-3234.504,3.9488773009e-04,2.5776904596e-09,-8.3819031715e-09,44.303456,153.319140,8.443498,3.419629,1.097467,3.646158,nan,nan
