system,metric,mean,variance
GPS,pos_dx,-0.092236915530,1.029233434026
GPS,pos_dy,0.125927242993,1.200322493363
GPS,pos_dz,-0.049443805381,0.731792950326
GPS,pos_norm,1.668851664296,0.203093009296
GPS,vel_dx,-0.000778417938,0.005217173404
GPS,vel_dy,-0.000823951871,0.003872216787
GPS,vel_dz,-0.004871648143,0.009302377556
GPS,vel_norm,0.122981119018,0.003292429899
BDS,pos_dx,-0.443206710333,4.062611235984
BDS,pos_dy,-0.890032234180,4.568579913119
BDS,pos_dz,0.166001084111,0.700436869020
BDS,pos_norm,2.216638055392,5.434289675399
BDS,vel_dx,0.000003683181,0.000000005840
BDS,vel_dy,0.000022077690,0.000000006145
BDS,vel_dz,0.000004865866,0.000000015593
BDS,vel_norm,0.000140834308,0.000000008268
